               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11309,            0.025244,                   0,            0.038091,             0.16284,            0.016976,           0.0034555,            0.091604,            0.016108,                   0,           0.0032759,           0.0032759,            0.070517
                   1,            0.081779,            0.016165,                   0,             0.24125,             0.42661,             0.19987,            0.039377,            0.075095,            0.013223,                   0,           0.0065874,           0.0065874,            0.040495
                   2,            0.070978,            0.013258,                   0,             0.49995,             0.44037,             0.33926,            0.074857,            0.068002,            0.015618,                   0,           0.0098769,           0.0098769,            0.010452
                   3,            0.061975,            0.012684,                   0,              0.6566,             0.46445,             0.48585,             0.13577,            0.063946,            0.011826,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.060398,            0.012053,                   0,             0.68916,             0.47592,             0.49928,             0.14967,            0.059665,            0.019364,                   0,            0.009901,            0.009901,            0.009901
                   5,             0.05812,            0.011122,                   0,             0.75991,             0.57798,             0.61481,             0.19127,            0.057588,           0.0096628,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.055996,            0.011203,                   0,             0.80287,             0.56995,             0.61297,             0.19774,            0.052783,           0.0090308,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.054059,            0.010403,                   0,             0.66308,             0.46789,             0.46353,             0.12326,             0.05886,           0.0088479,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.052894,            0.010584,                   0,             0.74817,             0.61009,             0.63538,             0.19941,            0.052101,           0.0090564,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.052859,            0.010654,                   0,             0.80986,             0.59633,             0.67148,             0.22133,            0.053261,           0.0084313,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.052275,            0.010393,                   0,             0.72899,             0.58142,             0.61548,             0.19325,            0.052535,            0.008592,                   0,            0.009703,            0.009703,            0.009703
                  11,             0.05262,            0.010627,                   0,             0.77226,             0.56422,             0.60663,             0.18358,            0.052155,           0.0083596,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.051852,            0.010534,                   0,             0.74745,             0.56193,             0.61948,             0.19136,            0.050618,           0.0082421,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.050943,            0.010398,                   0,             0.79959,             0.62271,             0.67352,             0.21027,            0.049789,           0.0080886,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.050927,            0.010301,                   0,             0.72679,             0.54472,             0.59944,             0.19005,            0.052765,           0.0087841,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.049219,            0.010507,                   0,             0.82064,             0.61124,             0.69492,             0.22934,            0.050277,           0.0079953,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.049501,            0.010191,                   0,             0.79314,             0.64195,             0.70637,              0.2367,             0.04889,           0.0081104,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.049699,           0.0099826,                   0,             0.78613,             0.59862,             0.66333,             0.20603,            0.050299,           0.0082793,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.049297,            0.010211,                   0,             0.78984,             0.60206,             0.66034,             0.22407,            0.050024,           0.0089133,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.050627,            0.010615,                   0,              0.8152,             0.61239,             0.68986,             0.23483,            0.049067,           0.0082127,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.049126,            0.011167,                   0,             0.75845,             0.58694,             0.64259,             0.19739,            0.049645,           0.0081306,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.048764,             0.01027,                   0,              0.7713,              0.6055,             0.66635,             0.21855,            0.049965,           0.0080286,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.049385,            0.010365,                   0,             0.74725,             0.57298,             0.64366,             0.19974,            0.049361,           0.0083518,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.048532,           0.0093225,                   0,             0.83253,              0.6157,             0.71279,             0.24305,            0.048731,           0.0078192,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.048125,            0.010291,                   0,             0.76901,             0.64905,             0.70613,             0.23397,            0.047368,           0.0078715,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.048717,            0.010371,                   0,             0.74289,              0.5539,              0.5982,              0.1911,            0.050482,            0.008187,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.047559,           0.0095744,                   0,             0.84175,             0.66055,             0.72983,             0.25144,            0.048827,           0.0078589,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.048996,           0.0099074,                   0,             0.79853,             0.64106,              0.6831,             0.23503,            0.048079,           0.0078558,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.048141,           0.0093165,                   0,             0.76532,             0.59518,             0.64462,             0.21549,            0.051126,           0.0086373,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.047389,           0.0096982,                   0,             0.79831,             0.66743,             0.71134,             0.25207,            0.049036,           0.0078055,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.047491,           0.0097351,                   0,             0.79528,             0.62844,             0.68304,             0.22088,            0.048385,           0.0077502,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.047264,           0.0096186,                   0,             0.81018,             0.59404,             0.67502,             0.22145,            0.048248,           0.0079002,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.047827,           0.0099226,                   0,              0.7561,             0.61927,             0.66915,             0.22002,            0.048295,           0.0079273,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.047437,           0.0096516,                   0,             0.74649,             0.61459,             0.66738,              0.2157,            0.050006,           0.0078879,                   0,            0.008944,            0.008944,            0.008944
                  34,            0.047348,           0.0098156,                   0,             0.83203,             0.66628,             0.71743,             0.25092,             0.04764,           0.0077319,                   0,            0.008911,            0.008911,            0.008911
                  35,            0.046568,           0.0095518,                   0,             0.76843,             0.59862,             0.64964,             0.21267,            0.052496,           0.0085885,                   0,            0.008878,            0.008878,            0.008878
                  36,            0.045975,           0.0099387,                   0,             0.79265,             0.62729,             0.69128,             0.23757,            0.049219,           0.0077361,                   0,            0.008845,            0.008845,            0.008845
                  37,            0.046521,           0.0095985,                   0,             0.75663,             0.61009,             0.67548,             0.22538,            0.049594,           0.0078304,                   0,            0.008812,            0.008812,            0.008812
                  38,            0.046298,           0.0093769,                   0,             0.78884,             0.60092,             0.66275,             0.21527,            0.049595,           0.0081985,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.045991,            0.009347,                   0,             0.77771,             0.63393,             0.69401,             0.23044,            0.048469,           0.0078755,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.046877,           0.0096881,                   0,             0.79449,              0.5906,             0.67506,             0.21945,            0.049583,           0.0078298,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.045841,            0.010258,                   0,             0.82501,             0.63417,             0.71451,             0.24567,            0.048245,           0.0076805,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.047274,           0.0093513,                   0,             0.79466,             0.63021,             0.69983,             0.22323,            0.049376,           0.0076991,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.047035,           0.0092625,                   0,             0.76645,             0.61009,               0.673,             0.21785,            0.049079,           0.0075662,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.045539,            0.009493,                   0,             0.82635,             0.64679,             0.70901,             0.24719,            0.047509,           0.0075697,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.046363,           0.0096233,                   0,             0.81407,             0.67281,             0.72577,             0.25415,            0.048121,           0.0075222,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.045907,           0.0087009,                   0,             0.81719,             0.61124,             0.69786,             0.23954,             0.04821,           0.0076183,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.045073,           0.0096589,                   0,             0.76941,             0.64667,              0.7093,             0.24137,            0.047281,           0.0077475,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.045532,           0.0097154,                   0,              0.7674,             0.66969,             0.71518,             0.24706,            0.047915,           0.0075437,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.045319,           0.0091072,                   0,              0.7415,             0.62831,             0.67176,              0.2223,            0.047977,           0.0076673,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.046009,           0.0093539,                   0,             0.82512,             0.63991,              0.7089,             0.24064,            0.048411,           0.0076742,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.045292,           0.0089404,                   0,             0.83013,             0.63417,             0.71729,             0.24689,             0.04892,           0.0076151,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.044848,           0.0091563,                   0,             0.80189,             0.65452,              0.7093,             0.24446,            0.048246,           0.0076868,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.044979,           0.0092833,                   0,             0.78395,             0.62835,             0.68602,             0.23211,            0.048288,           0.0075008,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.045173,           0.0091599,                   0,             0.78179,             0.62041,             0.70153,             0.23839,            0.047789,           0.0077479,                   0,            0.008251,            0.008251,            0.008251
                  55,             0.04574,           0.0093935,                   0,             0.76927,             0.63851,              0.6998,             0.23373,            0.047596,           0.0076556,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.045379,           0.0092355,                   0,             0.81786,             0.63853,             0.70593,             0.23922,             0.04795,           0.0078089,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.045659,           0.0094758,                   0,             0.79927,             0.63991,             0.70059,             0.23583,            0.049223,           0.0075316,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.044113,           0.0091675,                   0,             0.81392,             0.65252,             0.71839,             0.24387,            0.047385,           0.0076091,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.043785,           0.0093208,                   0,             0.74058,             0.62271,             0.67764,              0.2197,            0.049988,           0.0077312,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.044529,           0.0091905,                   0,             0.76048,             0.60076,             0.67501,             0.22731,            0.048643,           0.0076357,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.044604,           0.0089874,                   0,             0.81628,             0.64794,              0.7124,             0.24316,            0.047423,            0.007691,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.044432,             0.00911,                   0,             0.81237,             0.64549,             0.71104,             0.25244,            0.048639,           0.0077294,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.045012,           0.0093732,                   0,             0.76757,             0.61353,             0.67113,             0.22682,            0.048969,           0.0075957,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.044193,           0.0098913,                   0,             0.78745,             0.65429,             0.72625,             0.26151,            0.047137,            0.007655,                   0,            0.007921,            0.007921,            0.007921
                  65,             0.04465,           0.0089408,                   0,             0.75533,             0.63188,             0.67697,              0.2241,            0.049635,           0.0077426,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.044671,           0.0087805,                   0,             0.80786,             0.61927,             0.71045,             0.23419,            0.048818,           0.0076617,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.045556,           0.0096014,                   0,              0.7768,             0.62261,             0.69351,             0.23283,            0.047923,           0.0076751,                   0,            0.007822,            0.007822,            0.007822
                  68,             0.04551,            0.009092,                   0,             0.86404,             0.65594,             0.74459,             0.25767,            0.046996,           0.0074992,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.045749,           0.0093371,                   0,             0.80772,             0.61239,             0.68615,             0.22298,            0.048149,           0.0075401,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.046318,           0.0087827,                   0,               0.818,             0.63417,              0.7055,             0.24189,            0.047311,           0.0075883,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.045314,            0.009163,                   0,             0.78009,              0.6594,              0.7136,              0.2481,             0.04655,           0.0075112,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.044464,           0.0087335,                   0,             0.71062,             0.62844,             0.65641,             0.21415,            0.048704,           0.0076473,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.045734,           0.0088718,                   0,             0.77345,             0.66055,              0.6998,             0.22831,            0.048042,           0.0074457,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.045564,           0.0086877,                   0,             0.83868,             0.64679,             0.72755,             0.25237,            0.047548,           0.0074703,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.044681,           0.0089106,                   0,             0.82743,             0.64335,             0.72923,             0.24746,            0.047285,           0.0074203,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.044823,           0.0091652,                   0,              0.8132,               0.625,             0.70364,              0.2432,            0.047127,           0.0077192,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.045325,           0.0088949,                   0,             0.79211,             0.62959,              0.6965,             0.23678,            0.047839,           0.0075161,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.044638,           0.0087987,                   0,             0.80071,             0.66055,             0.73327,             0.26163,            0.046061,           0.0074446,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.044531,           0.0087165,                   0,             0.74317,             0.62729,               0.686,             0.22433,            0.048878,           0.0073549,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.046144,           0.0091261,                   0,             0.76859,             0.67431,             0.72871,             0.25057,            0.048024,           0.0074464,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.043887,           0.0092217,                   0,             0.73623,             0.58372,             0.62124,             0.19277,            0.052305,           0.0074992,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.044691,            0.008563,                   0,             0.82259,             0.67775,             0.74193,              0.2677,            0.047097,           0.0073702,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.044946,            0.009055,                   0,             0.80429,             0.59518,              0.6781,             0.23108,            0.047364,           0.0076147,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.044393,           0.0089751,                   0,             0.73613,             0.63985,             0.67993,             0.22762,            0.048565,           0.0075041,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.044885,           0.0088221,                   0,             0.79338,             0.63411,             0.70794,             0.23673,            0.047426,           0.0074491,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.044198,           0.0090525,                   0,             0.76748,             0.66284,             0.72114,             0.24153,            0.046947,           0.0074048,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.044705,           0.0094027,                   0,             0.73645,             0.65138,              0.6929,             0.23097,            0.048854,           0.0074282,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.043714,           0.0089974,                   0,             0.79144,             0.63972,             0.70596,             0.23999,            0.047082,              0.0075,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.044635,           0.0091789,                   0,             0.81761,              0.6272,             0.70496,             0.23143,            0.047751,             0.00749,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.044677,           0.0093203,                   0,             0.78707,             0.65138,             0.71915,             0.24875,            0.046231,           0.0073926,                   0,            0.007063,            0.007063,            0.007063
